timestamp,open,high,low,close,volume,vpin,vpin_regime,garch_mu,garch_vol,garch_signal,svm_pred,xgb_pred,xgb_conf,week_pos,trend_15m,decision
2026-09-18 02:59:45.772571+05:30,23925.33,23927.91,23906.92,23911.13,10037.0,0.118,LOW_TOXICITY,-0.000409,0.3544,SELL,-1,1,0.5173,0.546,0,APPROVED
2026-09-18 03:00:45.772571+05:30,23955.21,23995.63,23936.7,23958.89,15622.0,0.118,LOW_TOXICITY,-0.00015,0.3833,SELL,-1,1,0.5571,0.626,0,APPROVED
2026-09-18 03:01:45.772571+05:30,24007.3,24038.14,23980.22,23989.83,12291.0,0.118,LOW_TOXICITY,-0.000127,0.3835,SELL,-1,1,0.5672,0.678,0,APPROVED
2026-09-18 03:02:45.772571+05:30,23991.81,24020.44,23964.08,23984.42,12345.0,0.118,LOW_TOXICITY,-0.00015,0.3656,SELL,-1,-1,0.5691,0.669,0,APPROVED
2026-09-18 03:03:45.772571+05:30,23990.09,24040.18,23949.74,23957.48,11402.0,0.118,LOW_TOXICITY,-0.000129,0.3614,SELL,-1,-1,0.6232,0.624,0,APPROVED
2026-09-18 03:04:45.772571+05:30,24037.31,24103.23,24019.25,24026.79,24210.0,0.118,LOW_TOXICITY,0.000147,0.4308,BUY,-1,1,0.5613,0.741,0,VETO
2026-09-18 03:05:45.772571+05:30,24021.78,24044.84,23986.28,24029.44,10741.0,0.118,LOW_TOXICITY,0.000174,0.4088,BUY,-1,1,0.539,0.745,0,VETO
2026-09-18 03:06:45.772571+05:30,24049.95,24060.58,24029.5,24031.07,17081.0,0.118,LOW_TOXICITY,4.1e-05,0.3885,HOLD,0,0,0.5,0.748,0,APPROVED
2026-09-18 03:07:45.772571+05:30,24039.78,24051.01,24016.68,24031.51,11311.0,0.118,LOW_TOXICITY,5.6e-05,0.3699,HOLD,0,0,0.5,0.749,0,APPROVED
2026-09-18 03:08:45.772571+05:30,24034.32,24047.54,24016.23,24038.24,37993.0,0.1212,LOW_TOXICITY,0.000177,0.354,BUY,-1,1,0.539,0.76,0,VETO
2026-09-18 03:09:45.772571+05:30,24055.28,24059.73,24034.57,24035.13,12921.0,0.1212,LOW_TOXICITY,0.000182,0.3412,BUY,-1,-1,0.5724,0.755,0,VETO
2026-09-18 03:10:45.772571+05:30,24016.3,24031.28,23996.38,24020.86,12528.0,0.1212,LOW_TOXICITY,0.000161,0.3317,BUY,-1,-1,0.5716,0.731,0,VETO
2026-09-18 03:11:45.772571+05:30,24018.62,24028.74,23978.67,24006.03,18402.0,0.1212,LOW_TOXICITY,0.000303,0.3233,BUY,-1,-1,0.5938,0.706,0,VETO
2026-09-18 03:12:45.772571+05:30,24005.64,24013.67,24001.68,24006.16,15828.0,0.1212,LOW_TOXICITY,0.000303,0.3117,BUY,-1,1,0.5322,0.706,0,VETO
2026-09-18 03:13:45.772571+05:30,24000.08,23997.83,23987.15,23991.03,8331.0,0.1212,LOW_TOXICITY,0.000273,0.3055,BUY,-1,-1,0.5938,0.68,0,VETO
2026-09-18 03:14:45.772571+05:30,23966.16,23995.15,23938.54,23968.89,4838.0,0.1212,LOW_TOXICITY,0.000161,0.3052,BUY,-1,-1,0.8732,0.643,0,VETO
2026-09-18 03:15:45.772571+05:30,23965.6,23987.68,23943.79,23973.67,8187.0,0.1212,LOW_TOXICITY,4.1e-05,0.2958,HOLD,0,0,0.5,0.651,0,APPROVED
